 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:13
 Original file: 	  Jason-1\Jason-1_ASCII\110\110_002tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.57689	      11.545523	     261.567046	    1340196.888	    1340207.399	     0.070	     1.880	    -0.010	    -0.123	    -0.017	    -0.154	    -2.310	    -0.022	    -7.959	    -8.672	         0	         0	     0.002	    -0.093	
      1825.57690	      11.495745	     261.585782	    1340191.974	    1340202.478	     0.055	     1.990	    -0.010	    -0.123	    -0.017	    -0.154	    -2.310	    -0.031	    -7.914	    -8.624	         0	         0	     0.002	    -0.097	
      1825.57691	      11.445964	     261.604510	    1340187.087	    1340197.523	     0.043	     1.760	    -0.010	    -0.123	    -0.017	    -0.154	    -2.310	    -0.018	    -7.874	    -8.585	         0	         0	     0.002	    -0.086	
      1825.57692	      11.396182	     261.623229	    1340182.225	    1340192.672	     0.082	     1.810	    -0.010	    -0.123	    -0.017	    -0.156	    -2.310	    -0.035	    -7.847	    -8.559	         0	         0	     0.002	    -0.089	
      1825.57693	      11.346398	     261.641941	    1340177.388	    1340187.837	     0.081	     2.050	    -0.010	    -0.123	    -0.017	    -0.157	    -2.310	    -0.030	    -7.829	    -8.539	         0	         0	     0.002	    -0.099	
      1825.57694	      11.296611	     261.660645	    1340172.577	    1340183.008	     0.064	     1.990	    -0.009	    -0.123	    -0.016	    -0.159	    -2.309	    -0.022	    -7.817	    -8.524	         0	         0	     0.002	    -0.097	
      1825.57696	      11.246823	     261.679342	    1340167.792	    1340178.209	     0.095	     2.020	    -0.010	    -0.123	    -0.016	    -0.159	    -2.309	    -0.037	    -7.805	    -8.514	         0	         0	     0.002	    -0.097	
      1825.57697	      11.197033	     261.698030	    1340163.032	    1340173.430	     0.074	     1.930	    -0.009	    -0.123	    -0.016	    -0.160	    -2.309	    -0.020	    -7.794	    -8.503	         0	         0	     0.002	    -0.090	
      1825.57698	      11.147241	     261.716710	    1340158.298	    1340168.691	     0.063	     1.940	    -0.009	    -0.123	    -0.016	    -0.160	    -2.309	    -0.033	    -7.787	    -8.496	         0	         0	     0.002	    -0.091	
      1825.57699	      11.097447	     261.735383	    1340153.590	    1340163.963	     0.102	     1.930	    -0.009	    -0.123	    -0.016	    -0.161	    -2.309	    -0.028	    -7.783	    -8.496	         0	         0	     0.002	    -0.092	
      1825.57700	      11.047651	     261.754048	    1340148.907	    1340159.267	     0.033	     2.090	    -0.009	    -0.124	    -0.015	    -0.162	    -2.309	    -0.029	    -7.774	    -8.489	         0	         0	     0.002	    -0.099	
      1825.57702	      10.997853	     261.772705	    1340144.251	    1340154.633	     0.070	     2.060	    -0.009	    -0.124	    -0.015	    -0.163	    -2.309	    -0.026	    -7.757	    -8.473	         0	         0	     0.002	    -0.099	
      1825.57703	      10.948054	     261.791355	    1340139.619	    1340149.991	     0.069	     1.830	    -0.009	    -0.124	    -0.015	    -0.164	    -2.309	    -0.019	    -7.751	    -8.460	         0	         0	     0.002	    -0.090	
      1825.57704	      10.898252	     261.809996	    1340135.014	    1340145.421	     0.066	     2.100	    -0.008	    -0.124	    -0.015	    -0.164	    -2.309	    -0.028	    -7.767	    -8.468	         0	         0	     0.002	    -0.102	
      1825.57705	      10.848449	     261.828631	    1340130.435	    1340140.844	     0.059	     2.290	    -0.008	    -0.124	    -0.015	    -0.165	    -2.309	    -0.018	    -7.783	    -8.486	         0	         0	     0.002	    -0.103	
      1825.57706	      10.798643	     261.847257	    1340125.881	    1340136.367	     0.082	     2.410	    -0.008	    -0.124	    -0.015	    -0.167	    -2.309	    -0.036	    -7.784	    -8.491	         0	         0	     0.002	    -0.108	
      1825.57707	      10.748836	     261.865877	    1340121.353	    1340131.839	     0.062	     2.680	    -0.008	    -0.124	    -0.015	    -0.168	    -2.309	    -0.044	    -7.779	    -8.481	         0	         0	     0.002	    -0.121	
      1825.57709	      10.699027	     261.884488	    1340116.851	    1340127.260	     0.086	     2.540	    -0.007	    -0.124	    -0.014	    -0.170	    -2.309	    -0.032	    -7.781	    -8.472	         0	         0	     0.002	    -0.116	
      1825.57710	      10.649217	     261.903093	    1340112.375	    1340122.771	     0.084	     2.300	    -0.007	    -0.124	    -0.014	    -0.171	    -2.309	    -0.018	    -7.785	    -8.474	         0	         0	     0.002	    -0.108	
      1825.57711	      10.599404	     261.921690	    1340107.925	    1340118.404	     0.078	     2.500	    -0.007	    -0.124	    -0.014	    -0.172	    -2.309	    -0.016	    -7.798	    -8.480	         0	         0	     0.002	    -0.113	
      1825.57712	      10.549589	     261.940279	    1340103.500	    1340113.971	     0.069	     2.310	    -0.006	    -0.124	    -0.014	    -0.174	    -2.309	    -0.025	    -7.811	    -8.483	         0	         0	     0.002	    -0.108	
      1825.57713	      10.499773	     261.958861	    1340099.102	    1340109.548	     0.076	     2.390	    -0.006	    -0.124	    -0.014	    -0.176	    -2.309	    -0.035	    -7.806	    -8.475	         0	         0	     0.002	    -0.110	
      1825.57715	      10.449955	     261.977436	    1340094.729	    1340105.173	     0.067	     2.330	    -0.006	    -0.124	    -0.014	    -0.178	    -2.309	    -0.025	    -7.779	    -8.447	         0	         0	     0.002	    -0.110	
