 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:22

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1832.50986	       65.723914	      190.988050	 1353630.317	 1299999.999	    -0.001	   327.670	     0.099	    -0.064	    -0.282	    -0.054	    -2.361	    32.767	     4.400	     4.156	       200	        14	     0.006	    32.767
      1832.50987	       65.714114	      191.113337	 1353628.192	 1299999.999	    -0.001	   327.670	     0.100	    -0.064	    -0.282	    -0.055	    -2.361	    32.767	     4.444	     4.187	       200	        14	     0.006	    32.767
      1832.50988	       65.704205	      191.238525	 1353626.041	 1299999.999	    -0.001	   327.670	     0.102	    -0.064	    -0.282	    -0.056	    -2.361	    32.767	     4.544	     4.240	       200	        14	     0.006	    32.767
      1832.50990	       65.694186	      191.363614	 1353623.864	 1299999.999	    -0.001	   327.670	     0.104	    -0.064	    -0.284	    -0.055	    -2.361	    32.767	     4.667	     4.311	       200	        14	     0.006	    32.767
      1832.50991	       65.684057	      191.488603	 1353621.660	 1299999.999	    -0.001	   327.670	     0.106	    -0.064	    -0.286	    -0.054	    -2.362	    32.767	     4.744	     4.390	       200	        14	     0.006	    32.767
      1832.50992	       65.673819	      191.613490	 1353619.430	 1299999.999	    -0.001	   327.670	     0.109	    -0.064	    -0.288	    -0.053	    -2.362	    32.767	     4.799	     4.469	       202	        14	     0.006	    32.767
      1832.50993	       65.663472	      191.738274	 1353617.174	 1299999.999	    -0.001	   327.670	     0.113	    -0.064	    -0.291	    -0.052	    -2.363	    32.767	     4.933	     4.553	       200	        14	     0.006	    32.767
      1832.50994	       65.653016	      191.862956	 1353614.892	 1299999.999	    -0.001	   327.670	     0.116	    -0.064	    -0.294	    -0.045	    -2.363	    32.767	     5.146	     4.648	       200	        14	     0.006	    32.767
      1832.50995	       65.642450	      191.987533	 1353612.584	 1299999.999	    -0.001	   327.670	     0.114	    -0.063	    -0.298	    -0.037	    -2.364	    32.767	     5.380	     4.744	       200	        14	     0.006	    32.767
      1832.50997	       65.631776	      192.112004	 1353610.250	 1299999.999	    -0.001	   327.670	     0.111	    -0.063	    -0.236	    -0.031	    -2.350	    32.767	     5.593	     4.844	       202	        30	     0.003	    32.767
      1832.50998	       65.620993	      192.236370	 1353607.889	 1299999.999	    -0.001	     1.310	     0.131	    -0.063	    -0.215	    -0.030	    -2.345	    32.767	     5.726	     4.968	       202	        30	     0.003	    -0.075
      1832.51006	       65.543702	      193.090874	 1353590.903	 1353444.243	     1.724	    21.690	    32.767	    -0.063	    -0.029	    -0.027	    -2.303	    -0.493	     6.119	     5.638	        66	        30	     0.003	    -0.308
      1832.51007	       65.532067	      193.214369	 1353588.337	 1299999.999	    -0.001	   327.670	    32.767	    -0.063	     0.001	    -0.025	    -2.296	    32.767	     6.218	     5.733	       200	        30	     0.003	    32.767
      1832.51011	       65.495166	      193.597996	 1353580.182	 1299999.999	    -0.001	   327.670	    32.767	    -0.063	     0.087	    -0.016	    -2.276	    32.767	     6.271	     5.974	       200	        30	     0.003	    32.767
      1832.51034	       65.241631	      195.965930	 1353523.594	 1299999.999	    -0.001	   327.670	    32.767	    -0.061	     0.010	    -0.018	    -2.294	    32.767	     6.842	     7.273	       200	        30	     0.003	    32.767
      1832.51065	       64.833495	      199.110871	 1353430.831	 1299999.999	    -0.001	   327.670	    -0.376	    -0.059	    -0.300	    -0.011	    -2.365	    32.767	     8.873	     8.582	       200	        30	     0.003	    32.767
      1832.51066	       64.816699	      199.227684	 1353426.975	 1299999.999	    -0.001	   327.670	    -0.374	    -0.059	    -0.278	    -0.007	    -2.360	    32.767	     8.932	     8.687	       200	        30	     0.003	    32.767
      1832.51067	       64.799804	      199.344347	 1353423.094	 1299999.999	    -0.001	   327.670	    32.767	    -0.059	    -0.242	    -0.003	    -2.351	    32.767	     8.997	     8.805	       200	        30	     0.003	    32.767
      1832.51087	       64.505743	      201.254748	 1353355.103	 1299999.999	    -0.001	   327.670	    32.767	    -0.058	     0.105	     0.000	    -2.272	    32.767	     9.830	    10.160	       200	        30	     0.003	    32.767
